"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:07:58.519+00:00","SZ90","Counter:300 Temp:25.21 Hum:15.560 Press:96767.25 Gas:116708.45 Pred:0 Lat:33.42524 Lng:-111.9357 Alt:373.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:07:48.078+00:00","D9T5","Counter:299 Temp:25.20 Hum:15.550 Press:96767.91 Gas:116868.30 Pred:0 Lat:33.42524 Lng:-111.9357 Alt:373.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:07:37.708+00:00","SMJ1","Counter:298 Temp:25.19 Hum:15.529 Press:96768.78 Gas:114746.75 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:07:27.508+00:00","C8YP","Counter:297 Temp:25.17 Hum:15.708 Press:96769.74 Gas:112775.33 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:07:16.888+00:00","G6NV","Counter:296 Temp:25.14 Hum:15.812 Press:96770.52 Gas:111961.52 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:07:06.586+00:00","66I9","Counter:295 Temp:25.11 Hum:15.786 Press:96771.11 Gas:111814.80 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:06:56.234+00:00","W8WQ","Counter:294 Temp:25.09 Hum:15.674 Press:96771.16 Gas:114746.75 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:06:45.775+00:00","R4UT","Counter:293 Temp:25.07 Hum:15.613 Press:96771.70 Gas:116788.32 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:06:35.336+00:00","PBQF","Counter:292 Temp:25.05 Hum:15.517 Press:96772.55 Gas:118326.79 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:06:24.926+00:00","94MT","Counter:291 Temp:25.04 Hum:15.482 Press:96772.81 Gas:117836.59 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:06:14.539+00:00","8J4E","Counter:290 Temp:25.03 Hum:15.437 Press:96773.62 Gas:118738.41 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:06:04.291+00:00","L43V","Counter:289 Temp:25.02 Hum:15.421 Press:96773.96 Gas:118986.75 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:05:53.679+00:00","8UGP","Counter:288 Temp:25.02 Hum:15.471 Press:96774.64 Gas:118081.18 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:05:43.271+00:00","6YIH","Counter:287 Temp:25.02 Hum:15.511 Press:96774.60 Gas:118491.09 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:05:32.812+00:00","WFIN","Counter:286 Temp:25.02 Hum:15.486 Press:96775.41 Gas:118244.80 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:05:22.361+00:00","A4DR","Counter:285 Temp:25.02 Hum:15.526 Press:96775.73 Gas:117189.29 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:05:11.939+00:00","6A0B","Counter:284 Temp:25.01 Hum:15.586 Press:96775.16 Gas:116628.70 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:05:01.56+00:00","BQU8","Counter:283 Temp:25.01 Hum:15.605 Press:96775.62 Gas:116231.55 Pred:0 Lat:33.42518 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:04:51.169+00:00","1VI6","Counter:282 Temp:25.00 Hum:15.575 Press:96775.46 Gas:116231.55 Pred:0 Lat:33.42522 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:04:40.812+00:00","4SOB","Counter:281 Temp:24.99 Hum:15.610 Press:96775.79 Gas:116390.09 Pred:0 Lat:33.42522 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:04:30.484+00:00","S4IY","Counter:280 Temp:24.98 Hum:15.599 Press:96775.84 Gas:116073.45 Pred:0 Lat:33.42522 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:04:20.11+00:00","9HQW","Counter:279 Temp:24.96 Hum:15.623 Press:96775.59 Gas:115758.53 Pred:0 Lat:33.42522 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:04:09.718+00:00","JXGL","Counter:278 Temp:24.94 Hum:15.717 Press:96775.69 Gas:115601.72 Pred:0 Lat:33.42519 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:03:59.295+00:00","7K9I","Counter:277 Temp:24.91 Hum:15.851 Press:96776.07 Gas:114056.59 Pred:0 Lat:33.42519 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:03:48.968+00:00","ZY4A","Counter:276 Temp:24.89 Hum:15.880 Press:96775.95 Gas:113374.66 Pred:0 Lat:33.42519 Lng:-111.9357 Alt:375.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:03:38.652+00:00","CCGC","Counter:275 Temp:24.86 Hum:15.778 Press:96775.83 Gas:115994.56 Pred:0 Lat:33.42520 Lng:-111.9357 Alt:370.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:03:28.067+00:00","FCIP","Counter:274 Temp:24.85 Hum:15.743 Press:96776.12 Gas:115915.78 Pred:0 Lat:33.42520 Lng:-111.9357 Alt:370.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:03:17.646+00:00","TGRB","Counter:273 Temp:24.85 Hum:15.768 Press:96776.29 Gas:116390.09 Pred:0 Lat:33.42520 Lng:-111.9357 Alt:370.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:03:07.237+00:00","K6YL","Counter:272 Temp:24.85 Hum:15.703 Press:96776.79 Gas:117593.02 Pred:0 Lat:33.42520 Lng:-111.9357 Alt:370.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:02:56.861+00:00","J8G6","Counter:271 Temp:24.87 Hum:15.769 Press:96777.29 Gas:117028.57 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:02:46.448+00:00","RTXG","Counter:270 Temp:24.90 Hum:15.850 Press:96777.77 Gas:115133.80 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:02:36.014+00:00","QE96","Counter:269 Temp:24.93 Hum:15.827 Press:96778.63 Gas:115523.47 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:02:25.633+00:00","FDFB","Counter:268 Temp:24.97 Hum:15.788 Press:96779.34 Gas:114823.95 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:02:15.23+00:00","5OGH","Counter:267 Temp:25.00 Hum:15.790 Press:96780.23 Gas:113904.34 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:02:05.035+00:00","Q39F","Counter:266 Temp:25.03 Hum:15.832 Press:96781.27 Gas:112999.34 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:01:54.426+00:00","E2R0","Counter:265 Temp:25.06 Hum:15.823 Press:96781.85 Gas:114056.59 Pred:1 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:01:44.101+00:00","8UFY","Counter:264 Temp:25.10 Hum:15.800 Press:96782.04 Gas:112108.60 Pred:0 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:01:33.775+00:00","YQ7L","Counter:263 Temp:25.14 Hum:15.702 Press:96782.67 Gas:111014.74 Pred:1 Lat:33.42527 Lng:-111.9357 Alt:372.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:01:23.41+00:00","LRKK","Counter:262 Temp:25.18 Hum:15.663 Press:96782.78 Gas:109308.28 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:01:12.726+00:00","RSM7","Counter:261 Temp:25.21 Hum:15.650 Press:96783.16 Gas:106246.11 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:01:02.327+00:00","L3EP","Counter:260 Temp:25.23 Hum:15.706 Press:96783.20 Gas:104298.23 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:00:51.881+00:00","8YGC","Counter:259 Temp:25.22 Hum:15.756 Press:96783.40 Gas:104043.89 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:00:41.462+00:00","56H8","Counter:258 Temp:25.20 Hum:15.770 Press:96783.23 Gas:103853.95 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:00:31.105+00:00","4HWU","Counter:257 Temp:25.18 Hum:15.789 Press:96782.98 Gas:104107.36 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:00:20.714+00:00","ODYP","Counter:256 Temp:25.16 Hum:15.758 Press:96781.93 Gas:105004.10 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T19:00:10.272+00:00","ZS5Z","Counter:255 Temp:25.14 Hum:15.687 Press:96781.41 Gas:106978.69 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:59:59.801+00:00","SYED","Counter:254 Temp:25.13 Hum:15.666 Press:96780.90 Gas:107112.97 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:59:49.371+00:00","XEK3","Counter:253 Temp:25.13 Hum:15.726 Press:96780.39 Gas:106978.69 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:59:39.018+00:00","7WEN","Counter:252 Temp:25.13 Hum:15.741 Press:96780.81 Gas:106777.89 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:59:28.643+00:00","W0OC","Counter:251 Temp:25.13 Hum:15.616 Press:96781.08 Gas:108751.06 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:59:18.427+00:00","YI4F","Counter:250 Temp:25.14 Hum:15.607 Press:96781.12 Gas:109518.72 Pred:0 Lat:33.42548 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:59:08.04+00:00","BIZM","Counter:249 Temp:25.14 Hum:15.612 Press:96780.77 Gas:108268.13 Pred:0 Lat:33.42550 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:58:57.396+00:00","X2GJ","Counter:248 Temp:25.13 Hum:15.676 Press:96780.34 Gas:106777.89 Pred:0 Lat:33.42550 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:58:46.952+00:00","U6CO","Counter:247 Temp:25.12 Hum:15.666 Press:96779.06 Gas:105654.15 Pred:0 Lat:33.42550 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:58:36.519+00:00","D4HK","Counter:246 Temp:25.10 Hum:15.865 Press:96779.02 Gas:106113.99 Pred:0 Lat:33.42546 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:58:26.125+00:00","PEPW","Counter:245 Temp:25.07 Hum:15.909 Press:96778.71 Gas:105850.73 Pred:0 Lat:33.42546 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:58:15.756+00:00","0YS2","Counter:244 Temp:25.05 Hum:15.802 Press:96778.77 Gas:109098.66 Pred:0 Lat:33.42546 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:58:05.513+00:00","FD1Z","Counter:243 Temp:25.02 Hum:15.706 Press:96779.09 Gas:110511.55 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:57:54.967+00:00","WE1K","Counter:242 Temp:25.01 Hum:15.680 Press:96779.03 Gas:112256.09 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:57:44.722+00:00","Y53U","Counter:241 Temp:25.00 Hum:15.770 Press:96778.67 Gas:112035.01 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:57:34.157+00:00","D2GI","Counter:240 Temp:25.00 Hum:15.770 Press:96778.23 Gas:112256.09 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:57:23.776+00:00","DWYT","Counter:239 Temp:25.00 Hum:15.890 Press:96777.88 Gas:112552.21 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:57:13.37+00:00","ZJJ1","Counter:238 Temp:25.01 Hum:15.941 Press:96777.57 Gas:111888.11 Pred:1 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:57:02.907+00:00","278D","Counter:237 Temp:25.02 Hum:15.866 Press:96777.41 Gas:113450.03 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:56:52.537+00:00","8HNW","Counter:236 Temp:25.05 Hum:15.892 Press:96777.02 Gas:113374.66 Pred:1 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:56:42.273+00:00","Q9R4","Counter:235 Temp:25.08 Hum:15.874 Press:96776.81 Gas:112552.21 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:56:31.726+00:00","VC52","Counter:234 Temp:25.12 Hum:15.791 Press:96777.27 Gas:112035.01 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:56:21.324+00:00","GGAV","Counter:233 Temp:25.18 Hum:15.869 Press:96777.14 Gas:112182.30 Pred:1 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:56:10.968+00:00","DW1J","Counter:232 Temp:25.22 Hum:15.871 Press:96777.16 Gas:111159.36 Pred:1 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:56:00.507+00:00","88VD","Counter:231 Temp:25.25 Hum:15.812 Press:96777.13 Gas:110870.51 Pred:1 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:55:50.136+00:00","S749","Counter:230 Temp:25.27 Hum:15.808 Press:96776.81 Gas:110870.51 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:55:39.928+00:00","HBT1","Counter:229 Temp:25.29 Hum:15.819 Press:96776.83 Gas:111087.00 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:55:29.367+00:00","K7AX","Counter:228 Temp:25.29 Hum:15.784 Press:96776.55 Gas:110870.51 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:55:18.942+00:00","GKP4","Counter:227 Temp:25.28 Hum:15.799 Press:96776.05 Gas:110297.29 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:55:08.661+00:00","TCRH","Counter:226 Temp:25.28 Hum:15.743 Press:96775.71 Gas:111231.80 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:54:58.178+00:00","PTI6","Counter:225 Temp:25.27 Hum:15.713 Press:96775.46 Gas:111231.80 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:54:47.948+00:00","40HL","Counter:224 Temp:25.27 Hum:15.628 Press:96775.65 Gas:112999.34 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:54:37.413+00:00","TZYT","Counter:223 Temp:25.27 Hum:15.603 Press:96775.65 Gas:112775.33 Pred:0 Lat:33.42526 Lng:-111.9357 Alt:368.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:54:26.9+00:00","J85H","Counter:222 Temp:25.27 Hum:15.613 Press:96775.18 Gas:112924.57 Pred:0 Lat:33.42529 Lng:-111.9357 Alt:376.60","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-29T18:54:16.523+00:00","BMIO","Counter:221 Temp:25.27 Hum:15.593 Press:96775.38 Gas:112403.95 Pred:0 Lat:33.42529 Lng:-111.9357 Alt:376.60","1"
